apollo_location_code,stcotr
8373,1103005200
8374,1035960300
8375,1003011601
8376,1067030200
8377,1067030100
8378,1003011501
8379,1089010800
8380,1003011602
8381,1003010703
8382,1003011403
8383,1003010701
8384,1003010400
8385,1047956202
8386,1047956900
8387,1105686800
8388,1105687000
8389,1087231603
8390,1087231601
8391,1087231602
8392,1007010001
8393,1083020202
8394,1083020401
8395,1083020300
8396,1073010805
8397,1073011706
8398,1083021100
8399,1087231500
8400,1087232200
8401,1087231400
8402,1001020100
8403,1001020900
8404,1095031100
8405,1039961600
8406,1039962800
8407,1039962400
8408,1039963000
8409,1031010800
8410,1031010300
8411,1031010500
8412,1031010400
8413,1117030217
8414,1121010201
8415,1121010101
8416,1121010301
8417,1121010102
8418,1121011000
8419,1121011300
8420,1121011100
8421,1073012703
8422,1033020902
8423,1073011110
8424,1073012704
8425,1117030316
8426,1117030315
8427,1117030605
8428,1117030608
8429,1117030304
8430,1097007201
8431,1055010200
8432,1055010800
8433,1055011001
8434,1055011002
8435,1055001100
8436,1097006302
8437,1097006301
8438,1097006200
8439,1119011600
8440,1125012501
8441,1125010405
8442,1125010302
8443,1125010701
8444,1125010702
8445,1015002600
8446,1015001202
8447,1015002300
8448,1015002502
8449,1015002501
8450,1097006802
8451,1015001800
8452,1015002000
8453,1071950300
8454,1051030800
8455,1051030701
8456,1051030702
8457,1051030400
8458,1051030500
8459,1051030300
8460,1051030100
8461,1097006102
8462,1097003407
8463,1049961400
8464,1049960400
8465,1015002200
8466,1015001100
8467,1097006600
8468,1097006000
8469,1129044100
8470,1129043900
8471,1081041800
8472,1115040103
8473,1115040203
8474,1115040201
8475,1115040501
8476,1115040502
8477,1115040300
8478,1085781200
8479,1085780800
8480,1085781000
8481,1063060100
8482,1081042101
8483,1081042102
8484,1101005608
8485,1101005502
8486,1101005504
8487,1101005501
8488,1037961100
8489,1037961200
8490,1037961000
8491,1101005503
8492,1101005408
8493,1081040500
8494,1031010200
8495,1031010600
8496,1099075700
8497,1099076200
8498,1009050601
8499,1009050602
8500,1009050102
8501,1009050101
8502,1113030902
8503,1101005102
8504,2105000300
8505,2150000100
8506,1043964700
8507,1053970400
8508,1053970300
8509,1053969800
8510,1023957000
8511,1023956700
8512,1053970100
8513,1053969900
8514,1053970600
8515,2016000100
8516,2240000100
8517,2240000400
8518,2270000100
8519,2070000200
8520,2150000200
8521,2130000400
8522,2090000900
8523,2090001000
8524,2090001100
8525,2090001200
8526,2090001300
8527,2110000500
8528,2180000100
8529,2180000200
8530,2290000300
8531,2290000200
8532,2290000400
8533,2170000102
8534,2170000402
8535,2170000101
8536,2170000502
8537,2170000501
8538,2170000604
8539,2170000601
8540,2170000703
8541,2170000603
8542,2195000200
8543,2275000300
8544,2282000100
8545,2261000100
8546,2020000204
8547,4019004316
8548,4019004325
8549,4019004428
8550,4019004419
8551,4019004640
8552,4019004422
8629,4003002100
8553,4019004424
8631,4003001100
8554,4019940800
8555,4019004052
8556,4017963400
8557,4017940010
8558,4017940012
8559,4017940008
8560,4017940011
8561,4017940013
8562,4017940302
8563,4017960500
8564,4017960400
8565,4019004109
8566,4019004313
8567,4019004107
8568,4019940700
8569,4012020100
8570,4027011600
8571,4027011501
8572,4007000302
8573,4007000100
8574,4007000600
8575,4007000400
8576,4025000605
8577,4025000610
8578,4025002004
8579,4025001403
8580,4025000204
8581,4025001802
8582,4025000802
8583,4025000700
8584,4025000500
8585,4025000300
8586,4025001101
8587,4025001900
8588,4027011202
8589,4027012100
8590,4021941400
8591,4021002103
8592,4021002200
8593,4021001900
8594,4021000201
8595,4021941200
8596,4021000400
8597,4021001200
8598,4021001600
8599,4021000700
8600,4021002400
8601,4021000207
8602,4005002300
8603,4005002200
8604,4005944900
8605,4023966104
8606,4023966101
8607,4023966000
8608,4005942201
8609,4005002000
8610,4005001600
8611,4005001500
8612,4009961202
8613,4013723304
8614,4003000202
8615,4003001402
8616,4015952600
8617,4015952500
8618,4015952400
8619,4013612400
8620,4013061038
8621,4003000201
8622,4003000302
8623,4003000203
8624,4003001300
8625,4003000400
8626,4003000500
8627,4013216851
8628,4013941000
8630,4003001200
8632,4003001000
8633,4015953900
8634,4015953601
8635,4015953401
8636,4015951502
8637,4015953602
8638,4015953402
8639,4013610900
8640,4013610700
8641,4013216843
8642,4013050605
8643,4013050604
8644,4015953000
8645,4015952700
8646,4013610100
8647,4013723305
8648,4015954800
8649,4015950600
8650,4015950500
8651,4015940400
8652,4013723306
8653,4013610500
8654,4013040521
8655,4013610000
8656,4013216829
8657,4001944201
8658,4001945001
8659,4001944901
8660,4001945002
8661,4013941300
8662,5085020500
8663,5085020103
8664,5085020104
8665,5085020400
8666,5085020102
8667,5085020301
8668,5085020202
8669,5107480600
8670,5107480200
8671,5143011001
8672,5143011003
8673,5143010503
8674,5079960600
8675,5079960500
8676,5079960400
8677,5079960300
8678,5131010101
8679,5111490700
8680,5111490100
8681,5021950600
8682,5017080100
8683,5091020802
8684,5119004221
8685,5035031100
8686,5119004213
8687,5119002405
8688,6053011101
8689,5051010400
8690,5139950800
8691,5139950700
8692,5035030701
8693,5051011602
8694,5145070900
8695,5145071100
8696,5145070600
8697,5145070500
8698,5091020801
8699,5145070300
8700,5145070200
8701,5075470200
8702,5137950201
8703,5137950202
8704,5137950100
8705,5043490100
8706,5119004001
8707,5119004207
8708,5119003605
8709,5119003404
8710,5095950300
8711,5095950100
8712,5095950200
8713,5045030301
8714,5129970300
8715,5129970200
8716,5045031102
8717,5045031101
8718,5045030402
8719,6083000700
8720,5019953602
8721,5019953900
8722,5019953800
8723,5019953700
8724,5037950600
8725,5037950100
8726,5037950300
8727,5029950300
8728,5029950500
8729,5055480500
8730,5093011300
8731,5093011200
8732,5093010600
8733,5093010900
8734,5093010800
8735,5093010700
8736,5033020501
8737,5007021404
8738,5007020801
8739,5007020902
8740,5007021305
8741,5007021311
8742,5103950200
8743,5149952301
8744,5149952401
8745,5149952402
8746,5149952302
8747,5071952000
8748,5071952100
8749,5007021408
8750,5007021407
8751,5007021409
8752,5007020101
8753,5007020704
8754,5007020102
8755,5113950600
8756,5011950200
8757,5011950400
8758,5011950500
8759,5011950300
8760,5069002500
8761,5069001901
8762,5069002300
8763,6103000900
8764,6103000300
8765,5125010302
8766,5125010303
8767,5147490200
8768,5125010510
8769,5125010503
8770,5125010507
8771,5125010511
8772,5125010509
8773,5125010508
8774,5125010404
8775,5125010506
8776,5059020200
8777,6011000500
8778,6011000200
8779,6011000400
8780,6011000300
8781,6083000501
8782,6083000103
8783,6083001800
8784,6083001906
8785,6083001905
8786,6083001903
8787,6083001901
8788,6025010101
8789,6025010300
8790,6053990000
8791,6025010102
8792,6025010200
8793,6025011100
8794,6025011900
8795,6025010800
8796,6053014800
8797,6005000304
8798,6005000101
8799,6053013200
8800,6053010101
8801,6053010202
8802,6053011000
8803,6053011102
8804,6095252317
8805,6061021322
8806,6099003300
8807,6099003400
8808,6061021604
8809,6061021123
8810,6061020602
8811,6061021304
8812,6059032041
8813,6059032043
8814,6059032044
8815,6059021924
8816,6059032056
8817,6059052420
8818,6067009326
8819,6059099502
8820,6059042311
8821,6059032011
8822,6059042325
8823,6037120108
8824,6059075515
8825,6059075604
8826,6037134305
8827,6059062604
8828,6059062632
8829,6059021822
8830,6059032023
8831,6097152400
8832,6097151700
8833,6097151502
8834,6097153403
8835,6097150702
8836,6097151309
8837,6097151201
8838,6097151100
8839,6097154000
8840,6085511800
8841,6085507002
8842,6085512602
8843,6085512100
8844,6085512200
8845,6085512305
8846,6085511909
8847,6085511701
8848,6093001000
8849,6093000300
8850,6093001200
8851,6085504201
8852,6085504202
8853,6085504308
8854,6085504420
8855,6085504417
8856,6085503330
8857,6085507703
8858,6085503334
8859,6029003304
8860,6019007802
8861,6085507302
8862,6045011002
8863,6045990100
8864,6085507600
8865,6085503312
8866,6085513500
8867,6085511705
8868,6037128210
8869,6037134104
8870,6097151601
8871,6085504602
8872,6097154303
8873,6097154304
8874,6097152906
8875,6097150612
8876,6097151503
8877,6097153706
8878,6067009325
8879,6085512510
8880,6029005104
8881,6085512001
8882,6029004601
8883,6097150500
8884,6097150202
8885,6085511704
8886,6085511707
8887,6085512402
8888,6085512401
8889,6085503326
8890,6097153501
8891,6097153005
8892,6097152702
8893,6097152600
8894,6029004500
8895,6029006500
8896,6029006006
8897,6029000910
8898,6029005103
8899,6029006004
8900,6113010401
8901,6113011206
8902,6113011300
8903,6113011400
8904,6113011500
8905,6113010102
8906,6039000400
8907,6067009638
8908,6067009201
8909,6067009501
8910,6045010300
8911,6045010100
8912,6067009331
8913,6067009403
8914,6067009800
8915,6067009900
8916,6039000108
8917,6107000202
8918,6107000301
8919,6115041000
8920,6115040901
8921,6115040700
8922,6115040400
8923,6107000302
8924,6107000100
8925,6107001400
8926,6107003100
8927,6107002100
8928,6107000701
8929,6107003400
8930,6107002400
8931,6073019207
8932,6073019208
8933,6073019303
8934,6073021205
8935,6073009400
8936,6073009504
8937,6073019602
8938,6073019702
8939,6073019806
8940,6073021100
8941,6073020103
8942,6099000102
8943,6073020304
8944,6073020306
8945,6073020307
8946,6073015200
8947,6073016802
8948,6073008339
8949,6073020706
8950,6073020709
8951,6073020710
8952,6073020801
8953,6073020807
8954,6099000101
8955,6073015502
8956,6073016901
8957,6073016902
8958,6073017054
